Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2012,Kirk Cousins,Michigan State,QB,74.63,214,9.88,31.75,33,4.84,,28.5,109,4.5,7.05,
2012,Austin Davis,Southern Mississippi,QB,73.63,219,10.38,31.75,,4.69,,31,109,4.11,6.73,
2012,Nick Foles,Arizona,QB,77,243,10.63,34.25,29,5.03,,30.5,112,4.7,7.19,
2012,Robert Griffin,Baylor,QB,74.38,223,9.5,32.25,24,4.33,,39,120,,,
2012,Tyler Hansen,Colorado,QB,72.63,218,,,,4.85,,27.5,108,4.39,7.49,
2012,Chandler Harnish,Northern Illinois,QB,73.63,219,9.25,32.38,,4.68,,32.5,112,4.15,6.78,
2012,Jacory Harris,Miami (FL),QB,75,203,9.75,32.13,,4.65,,37,113,4.4,7.1,
2012,Jordan Jefferson,Louisiana State,QB,76.13,223,10.25,33,,4.58,14,36.5,116,4.06,6.81,
2012,Case Keenum,Houston,QB,72.63,208,9.13,30.88,,4.72,18,32.5,103,4.3,6.92,
2012,Ryan Lindley,San Diego State,QB,75.75,229,10,32.63,35,4.86,,29.5,108,4.45,7.52,
2012,Andrew Luck,Stanford,QB,76,234,10,32.63,37,4.59,,36,124,4.28,6.8,
2012,Kellen Moore,Boise State,QB,72,197,9.5,30.25,26,4.82,,27,99,4.56,7.41,
2012,Brock Osweiler,Arizona State,QB,78.88,242,9.88,33.88,25,4.83,,,,,,
2012,Ryan Tannehill,Texas A&M,QB,75.88,221,9,32.63,34,4.65,,,,,,
2012,Darron Thomas,Oregon,QB,74.63,220,9.5,32.88,,4.77,14,36,121,4.28,7.17,
2012,Brandon Weeden,Oklahoma State,QB,75.5,221,9.63,31.75,27,4.89,,30.5,101,4.47,7.41,
2012,Russell Wilson,Wisconsin,QB,70.63,204,10.25,31,28,4.53,,34,118,4.09,6.97,
2012,Patrick Witt,Yale,QB,75.5,225,9,31.38,,5.08,,31.5,101,4.37,7.14,
2011,Ryan Colburn,Frenso State (CA),QB,74.75,233,9.5,30,,5.12,,29,,4.28,6.84,
2011,Andy Dalton,Texas Christian,QB,74,215,9.5,31.75,29,4.83,,29.5,106,4.27,6.93,
2011,Pat Devlin,Delaware,QB,75.38,225,9.88,32,,4.81,,33,116,4.32,7.08,
2011,Nathan Enderle,Idaho,QB,76.13,240,9.88,31.25,,5.12,,25.5,102,4.46,7.13,
2011,Adam Froman,Louisville,QB,76,220,,,,4.59,,29,111,4.18,6.85,
2011,Blaine Gabbert,Missouri,QB,76.38,234,10,33,42,4.61,,33.5,120,4.26,6.84,
2011,Jerrod Johnson,Texas A&M,QB,77.13,251,9,31.13,,4.75,,29,119,4.31,7.28,
2011,Colin Kaepernick,Nevada,QB,76.63,233,9.13,33.5,,4.53,,32.5,115,4.18,6.85,
2011,Jake Locker,Washington,QB,74.5,231,9.63,31.63,20,4.51,,35,115,4.12,6.77,
2011,Ryan Mallett,Arkansas,QB,78.75,253,10.75,34.38,26,5.24,,24,103,,,
2011,Greg McElroy,Alabama,QB,73.88,220,9.38,30.75,43,4.84,,33,107,4.45,7.11,
2011,Cam Newton,Auburn,QB,77,248,9.88,33.75,21,4.56,,35,126,4.18,6.92,
2011,Christian Ponder,Florida State,QB,74,229,10.25,32.13,35,4.63,,34,116,4.09,6.85,
2011,Josh Portis,California (PA),QB,74.88,211,9.38,34.13,,4.59,,40,126,4.12,6.84,
2011,Ricky Stanzi,Iowa,QB,76.38,223,10,32,30,4.87,,32.5,110,4.43,6.95,
2011,Tyrod Taylor,Virginia Tech,QB,72.75,217,10,32.25,,4.47,,37.5,126,4.09,6.78,
2011,Scott Tolzien,Wisconsin,QB,74,212,10,30.5,,4.92,,29.5,116,4.12,6.84,
2011,Jeff Van Camp,Florida Atlantic,QB,77.25,218,10.25,32.5,,4.83,,31,114,4.16,6.87,
2011,Taylor Yates,North Carolina,QB,75.38,219,10.25,32.5,,5.06,,29.5,104,4.12,6.96,
2022,Tyler Allgeier,Brigham Young,RB,70.75,224,9.63,31.5,,4.6,,33,120,,,
2022,Tyler Badie,Missouri,RB,68,197,9.13,29.38,,4.45,,33.5,121,,,
2022,Greg Bell,San Diego State,RB,70.5,201,9.38,30.88,,,17,31,120,,,
2022,Max Borghi,Washington State,RB,69.38,210,9.13,29.63,,,20,,,,,
2022,Kennedy Brooks,Oklahoma,RB,70.63,209,8,31,,4.59,12,31,120,4.44,7.12,
2022,Leddie Brown,West Virginia,RB,72.13,213,9.75,31.38,,4.64,,30,118,,,
2022,Ty Chandler,North Carolina,RB,71.25,204,9,32.13,,4.38,,31,121,,,
2022,Snoop Conner,Mississippi,RB,70.13,222,9.25,30.25,,4.59,25,29.5,118,,,
2022,James Cook,Georgia,RB,71,199,9.38,30.75,,4.42,,33,124,,,
2022,Jashaun Corbin,Florida State,RB,71.13,202,9.5,31.5,,,,,,,,
2022,Tyrion Davis-Price,Louisiana State,RB,72.38,211,9.25,30.75,,4.48,,30,117,,,
2022,Jerrion Ealy,Mississippi,RB,68.13,189,8.5,29.13,,4.52,,34.5,128,,,
2022,Trestan Ebner,Baylor,RB,70.75,206,8.5,29.75,,4.43,,30,,,,
2022,Jerome Ford,Cincinnati,RB,70.5,210,9.13,30.63,,4.46,,31,118,,,
2022,Tyler Goodson,Iowa,RB,69,197,9,29.5,,4.42,,36.5,123,,,
2022,Breece Hall,Iowa State,RB,71.25,217,9.75,31.25,,4.39,,40,126,,,
2022,Kevin Harris,South Carolina,RB,69.88,221,9.25,31.25,,,21,38.5,126,,,
2022,Hassan Haskins,Michigan,RB,73.75,228,9.25,31.75,,,27,,,,,
2022,Keaontay Ingram,Southern California,RB,71.75,221,9,31.5,,4.53,,34.5,122,,,
2022,Zonovan Knight,North Carolina State,RB,70.88,209,9.25,30.5,,4.58,,31,114,,,
2022,Sincere McCormick,Texas-San Antonio,RB,68.5,205,9.13,29.88,,4.6,,33.5,116,,,
2022,Isaih Pacheco,Rutgers,RB,70.25,216,9.25,30.5,,4.37,,33,118,,,
2022,Dameon Pierce,Florida,RB,69.63,218,9.38,30.75,,4.59,21,34.5,119,,,
2022,DVonte Price,Florida International,RB,73.38,210,9.38,31.5,,4.38,,34,119,,,
2022,Ronnie Rivers,Frenso State (CA),RB,67.5,195,8.5,28,,4.6,,36.5,119,,,
2022,Brian Robinson,Alabama,RB,73.63,225,9.75,31.88,,4.53,,30,119,,,
2022,Abram Smith,Baylor,RB,71.63,213,8.25,30.25,,,,,,,,
2022,Isaiah Spiller,Texas A&M,RB,72.38,217,8.63,31.75,,,,30,114,,,
2022,Pierre Strong,South Dakota State,RB,71.38,207,9.25,31.88,,4.37,,36,124,,,
2022,CJ Verdell,Oregon,RB,67.75,194,9.5,29.25,,,,29.5,118,,,
2022,Kenneth Walker,Michigan State,RB,69.25,211,9.5,30.38,,4.38,,34,122,,,
2022,Jaylen Warren,Oklahoma State,RB,68,204,9.25,29.88,,4.55,,31.5,119,,,
2022,Rachaad White,Arizona State,RB,72.38,214,9.75,31.25,,4.48,,38,125,,,
2022,Zamir White,Georgia,RB,71.75,214,8.5,31.5,,4.4,,33.5,128,,,
2022,ZaQuandre White,South Carolina,RB,72.13,206,9,30.75,,,,,,,,
2022,Kyren Williams,Notre Dame,RB,69.25,194,9,28.63,,4.65,,32,116,,,
2021,Otis Anderson,Central Florida,RB,67.5,179,9,31.125,,4.68,9,35,111,4.46,7.13,
2021,Rakeem Boyd,Arkansas,RB,71.38,213,8.625,32.5,,4.73,4,31.5,96,4.42,7.31,
2021,Gary Brightwell,Arizona,RB,70.75,218,9.375,31,,4.65,15,33.5,116,4.52,7.6,
2021,Spencer Brown,Alabama-Birmingham,RB,70.38,208,8.5,30.625,,4.67,72,35.5,119,4.43,7.47,
2021,Michael Carter,North Carolina,RB,67.88,201,8.75,29.125,,4.57,14,33,117,4.02,6.92,
2021,Gerrid Doaks,Cincinnati,RB,71.38,228,9.75,31,,4.61,17,38.5,118,4.32,7.3,
2021,BJ Emmons,Florida Atlantic,RB,71.38,215,9.25,32.25,,4.62,19,35,118,4.18,6.98,
2021,Travis Etienne,Clemson,RB,70.13,215,9.375,30.125,,4.48,16,32.5,126,,,
2021,Chris Evans,Michigan,RB,71,211,10,32.5,,4.55,18,39.5,125,4.18,6.94,
2021,Demetric Felton,UCLA,RB,68.63,189,9.375,31.375,,4.62,8,30.5,112,4.54,7.4,
2021,Jake Funk,Maryland,RB,70.25,204,9,30.25,,4.52,20,37,120,4.16,6.8,
2021,Kenneth Gainwell,Memphis,RB,68.38,201,9.875,30.625,,4.5,19,34,119,4.5,7.35,
2021,JaQuan Hardy,Tiffin (OH),RB,68.25,211,8.75,29.875,,4.59,19,32,117,4.18,7.07,
2021,Najee Harris,Alabama,RB,73.38,232,10.25,33.375,,,,,115,,,
2021,Javian Hawkins,Louisville,RB,68.13,183,7.875,29.25,,4.49,,35,114,4.29,7.04,
2021,Justin Henderson,Louisiana Tech,RB,67.75,220,9.25,30.875,,4.68,24,31,116,4.63,7.31,
2021,Khalil Herbert,Virginia Tech,RB,68.88,210,8.625,31.25,,4.53,20,32,113,4.38,6.99,
2021,Kylin Hill,Mississippi State,RB,70.5,214,9.625,30.5,,4.6,20,35,120,4.39,7.29,
2021,Chuba Hubbard,Oklahoma State,RB,72,210,9,32,,4.54,18,35,118,4.34,7.37,
2021,Deon Jackson,Duke,RB,71,218,9.25,30.25,,4.45,16,35,121,4.44,7.23,
2021,Josh Johnson,Louisiana-Monroe,RB,68.88,209,8.75,29.625,,4.64,20,34.5,113,4.44,7.25,
2021,CJ Marable,Coastal Carolina (SC),RB,66.88,195,9.25,29.5,,4.61,15,35,114,4.38,7.41,
2021,Jah-Maine Martin,North Carolina A&T,RB,69.13,203,,,,,,,125,,,
2021,Greg McCrae,Central Florida,RB,69.88,182,8.875,30.875,,4.57,,36.5,122,4.41,6.97,
2021,Nate McCrary,Saginaw Valley State (MI),RB,72.25,213,9.25,30,,4.55,17,33,121,4.23,7.03,
2021,Elijah Mitchell,Louisiana-Lafayette,RB,70.25,201,9.75,31,,4.38,15,36.5,126,4.24,7.03,
2021,Trey Ragas,Louisiana-Lafayette,RB,70.13,218,8.875,29.75,,4.66,21,32.5,115,4.54,7.24,
2021,Asim Rose,Kentucky,RB,73,215,9.375,31.25,,4.56,22,33,118,4.66,7.35,
2021,Larry Rountree,Missouri,RB,70.63,211,9.125,30.75,,4.73,16,29,106,4.51,7.05,
2021,Mekhi Sargent,Iowa,RB,68.38,208,9.375,30.375,,4.72,16,32.5,111,4.34,7.17,
2021,Trey Sermon,Ohio State,RB,72.38,215,9.375,33.375,,4.64,,36,123,4.34,6.93,
2021,Rhamondre Stevenson,Oklahoma,RB,71.63,231,9,30.25,,4.67,13,30.5,110,4.19,7.18,
2021,Javonte Williams,North Carolina,RB,69.63,212,9.375,30.875,,4.6,20,35,121,4.13,7.02,
2021,Pooka Williams,Kansas,RB,69.63,170,9.75,30.875,,4.49,2,30.5,116,4.3,7.12,
2020,Salvon Ahmed,Washington,RB,70.88,197,8.75,29.25,,4.62,,34.5,120,,,
2020,Cam Akers,Florida State,RB,70.38,217,9,30.63,,4.47,20,35.5,122,4.42,,
2020,Darius Anderson,Texas Christian,RB,70.5,208,9.63,30.5,,4.61,19,36,128,4.19,,
2020,Levante Bellamy,Western Michigan,RB,68.88,192,8.75,30.25,,4.5,16,39.5,125,,,
2020,Eno Benjamin,Arizona State,RB,68.88,207,8.63,31.25,,4.57,12,39,122,4.25,6.97,
2020,Lynn Bowden,Kentucky,RB,70.63,204,9.75,30.88,,,13,,,,,
2020,Raymond Calais,Louisiana-Lafayette,RB,67.88,188,9.25,30,,4.42,20,37.5,120,,,
2020,DeeJay Dallas,Miami (FL),RB,70.13,217,9.25,30.63,,4.58,,33.5,119,4.32,7.18,
2020,A.J. Dillon,Boston College,RB,72.38,247,9.63,31.63,,4.53,23,41,131,,7.19,
2020,J.K. Dobbins,Ohio State,RB,69.5,209,9.5,29.75,,,23,,,,,
2020,Rico Dowdle,South Carolina,RB,72,215,9.5,31.38,,4.54,,38,127,,,
2020,Clyde Edwards-Helaire,Louisiana State,RB,67.25,207,9.63,29,,4.6,15,39.5,123,,,
2020,Darrynton Evans,Appalachian State (NC),RB,70.13,203,9.25,31.63,,4.41,20,37,125,,,
2020,Antonio Gibson,Memphis,RB,72.38,228,8.63,31.13,,4.39,16,35,118,,,
2020,JaMycal Hasty,Baylor,RB,68,205,9.13,31.13,,4.55,15,39,123,4.03,,
2020,Brian Herrien,Georgia,RB,71.13,209,9,29.75,,4.62,18,38.5,126,4.4,7.12,
2020,Joshua Kelley,UCLA,RB,70.63,212,9.63,31.63,,4.49,23,31,121,4.28,6.95,
2020,Javon Leake,Maryland,RB,72.13,215,9.63,31.5,,4.65,,34,125,,,
2020,Benny LeMay,North Carolina Charlotte,RB,68.13,221,9,29.88,,4.75,24,28.5,112,,,
2020,Anthony McFarland,Maryland,RB,68.13,208,8.88,30.38,,4.44,,29.5,116,,,
2020,Zack Moss,Utah,RB,69.38,223,9.25,31.25,,4.65,19,33,,4.37,,
2020,Sewo Olonilua,Texas Christian,RB,75,240,10,32.13,,4.66,25,36,123,4.28,,
2020,La'Mical Perine,Florida,RB,70.75,216,10.25,31.63,,4.62,22,35,118,4.31,7.13,
2020,Malcolm Perry,Navy,RB,69.5,186,8.5,29.63,,4.63,10,36,122,4.31,7.12,
2020,Scottie Phillips,Mississippi,RB,68,211,8.5,29.38,,4.56,29,30,114,4.53,7.4,
2020,James Robinson,Illinois State,RB,69,219,8.75,29.63,,4.64,24,40,125,4.19,7.03,
2020,D'Andre Swift,Georgia,RB,68.25,212,9,29.88,,4.48,,35.5,121,,,
2020,J.J. Taylor,Arizona,RB,66,185,8.5,28.75,,4.61,19,34.5,118,4.15,7,
2020,Jonathan Taylor,Wisconsin,RB,70.25,226,9.5,31.13,,4.39,17,36,123,4.24,7.01,
2020,Patrick Taylor,Memphis,RB,75,216,9.38,32.25,,4.57,15,34,123,4.34,,
2020,Ke'Shawn Vaughn,Vanderbilt,RB,69.63,214,8.88,30.88,,4.51,,32,117,,,
2020,Michael Warren,Cincinnati,RB,69.13,226,9.13,29.5,,,16,,,,,
2019,Bruce Anderson,North Dakota State,RB,71.25,210,9,31.5,,4.61,20,30,117,4.51,7.32,
2019,Rodney Anderson,Oklahoma,RB,72.38,224,9.75,30.75,,,25,,,,,
2019,Ryquell Armstead,Temple,RB,71.25,220,9.13,30.63,,4.45,22,30,114,4.29,7.02,
2019,Alex Barnes,Kansas State,RB,72.38,226,10,31,,4.59,34,38.5,126,4.1,6.95,11.72
2019,Nick Brossette,Louisiana State,RB,71.25,209,8.63,30,,4.72,15,35.5,118,4.44,7.38,
2019,Squally Canada,Brigham Young,RB,70.13,211,9.38,31,,4.71,19,27,114,4.39,7.18,
2019,Adam Choice,Clemson,RB,69.38,209,9.88,31.625,,4.61,,31,116,4.48,7.36,
2019,Damarea Crockett,Missouri,RB,69.75,225,9.63,32,,4.53,19,36,117,4.36,7.52,
2019,Taiwan Deal,Wisconsin,RB,72.25,226,9.38,31,,,22,,,,,
2019,Myles Gaskin,Washington,RB,69.25,205,8.75,29.5,,4.58,24,35.5,118,4.27,7.19,11.77
2019,Trayone Gray,Miami (FL),RB,73,233,8.75,31.25,,4.48,20,31.5,119,4.64,7.54,
2019,Damien Harris,Alabama,RB,70.13,216,9.75,30.75,,4.57,16,37,121,,,
2019,Darrell Henderson,Memphis,RB,68.38,208,8.63,31,,4.49,22,33.5,121,4.45,7.12,
2019,Karan Higdon,Michigan,RB,69.13,206,9.63,30.75,,4.49,21,34,123,,,
2019,Justice Hill,Oklahoma State,RB,69.63,198,9.5,31.63,,4.4,21,40,130,,,
2019,Jonathan Hilliman,Rutgers,RB,71.38,216,8.75,33,,4.52,18,33.5,118,4.3,7.21,
2019,Elijah Holyfield,Georgia,RB,70.38,217,9,30.38,,4.78,26,29.5,118,,,
2019,Travis Homer,Miami (FL),RB,70.38,201,10,31.5,,4.48,17,39.5,130,4.31,7.07,
2019,Josh Jacobs,Alabama,RB,70,220,10.13,31.63,,4.67,16,34,110,,,
2019,Chris James,Wisconsin,RB,69.63,215,9,30,,4.7,17,33,115,4.27,7.2,
2019,Ty Johnson,Maryland,RB,70.75,210,9.13,30.125,,4.43,11,33.5,121,,,
2019,Madre London,Tennessee,RB,72.88,215,10.38,31.875,,4.66,17,30.5,119,4.62,7.28,
2019,Bryce Love,Stanford,RB,68.88,200,9.13,29.38,,,18,,,,,
2019,TaQuon Marshall,Georgia Tech,RB,69.5,183,8.63,29.875,,4.73,,30,104,4.34,7.35,
2019,Alexander Mattison,Boise State,RB,70.88,221,9.13,31,,4.67,22,35,127,4.29,7.13,11.69
2019,Travon McMillian,Colorado,RB,71.25,210,8.75,30.875,,4.51,20,31,120,4.5,7.31,
2019,David Montgomery,Iowa State,RB,70.13,222,9.25,31.38,,4.63,15,28.5,121,4.27,7.21,
2019,Jalin Moore,Appalachian State (NC),RB,70,212,9.25,32.38,,,27,32,112,4.43,,
2019,Qadree Ollison,Pittsburgh,RB,72.63,228,9.63,31.5,,4.58,19,29.5,114,4.31,7.53,
2019,Devine Ozigbo,Nebraska,RB,70.75,222,9.25,31,,4.68,17,36,122,4.31,7.04,
2019,Tony Pollard,Memphis,RB,71.63,210,9.5,30,,4.52,13,35,121,4.41,7.09,
2019,Miles Sanders,Penn State,RB,70.63,211,9.25,30.63,,4.49,20,36,124,4.19,6.89,
2019,Jordan Scarlett,Florida,RB,70.38,208,8.88,30.38,,4.47,21,30,116,4.63,7.37,
2019,LJ Scott,Michigan State,RB,72.38,227,9.38,32.13,,4.73,21,33,120,4.34,7.27,
2019,Devin Singletary,Florida Atlantic,RB,67.63,203,8.5,28.88,,4.66,15,35,117,4.4,7.32,
2019,Benny Snell,Kentucky,RB,70.38,224,9.38,31,,4.66,16,29.5,119,4.33,7.07,
2019,Johnathan Thomas,Penn State,RB,70.75,217,9.38,30.5,,4.44,17,38.5,126,4.26,6.93,
2019,Darwin Thompson,Utah State,RB,68,198,8.38,29.75,,4.58,21,38,124,4.34,7.02,
2019,Xavier Turner,Tarleton State,RB,69.63,226,8.88,31.375,,4.55,24,32.5,115,4.43,7.19,
2019,Mike Weber,Ohio State,RB,69.63,211,9.38,29.75,,4.47,22,33.5,,4.36,7.43,
2019,Kerrith Whyte,Florida Atlantic,RB,70,197,9.5,29.875,,4.4,19,41,130,4.41,7.29,
2019,Aeris Williams,Mississippi State,RB,71.63,215,10,32.25,,4.83,,27.5,109,4.66,7.44,
2019,Dexter Williams,Notre Dame,RB,71.13,212,9.63,32.25,,4.57,17,36,130,4.16,7,
2019,James Williams,Washington State,RB,69.5,197,9.25,30.38,,4.58,13,36.5,118,4.25,7.01,12.2
2019,Trayveon Williams,Texas A&M,RB,68.13,206,9.25,30.38,,4.51,19,33,121,4.44,7.44,
2019,Kenny Young,Miami (OH),RB,66.63,177,8.75,28.375,,4.52,14,34.5,119,4.44,7.23,
2018,Josh Adams,Notre Dame,RB,73.63,213,9.25,33.75,,4.54,18,33,120,,6.87,
2018,Corey Avery,Sam Houston State (TX),RB,69.63,191,8.5,30.25,,4.71,6,36,113,4.54,7.49,
2018,Kalen Ballage,Arizona State,RB,73.5,228,9.5,32.75,,4.46,15,33.5,122,4.35,6.91,
2018,Saquon Barkley,Penn State,RB,72,233,9.5,31.38,,4.4,29,41,,4.24,,
2018,Reggie Bonnafon,Louisville,RB,72.88,212,9.75,32.75,,4.56,18,37,125,4.29,7.06,
2018,Trenton Cannon,Virginia State,RB,70.25,185,8.38,30.25,,4.43,15,37.5,127,4.08,7.11,
2018,Martez Carter,Grambling State (LA),RB,67,210,8.63,31,,4.59,12,35,116,4.54,7.61,
2018,Nick Chubb,Georgia,RB,70.88,227,9.63,32,,4.52,29,38.5,128,4.25,7.09,
2018,Lavon Coleman,Washington,RB,70.75,215,9.25,30.5,,4.65,23,33,120,4.39,7.25,
2018,Justin Crawford,West Virginia,RB,71.38,199,9.13,32,,4.64,11,33.5,122,4.48,7.17,
2018,Chase Edmonds,Fordham (NY),RB,69.13,205,9.13,31.13,,4.55,19,34,122,4.07,6.79,11.63
2018,Keith Ford,Texas A&M,RB,70.13,219,9.5,31.875,,4.57,17,38,124,4.45,7.18,
2018,Jarvion Franklin,Western Michigan,RB,71.5,239,9.25,31.25,,4.63,18,30,109,4.31,6.93,11.81
2018,Royce Freeman,Oregon,RB,71.5,229,9.5,32,,4.54,17,34,118,4.16,6.9,11.64
2018,Ryan Green,Florida State,RB,70.13,192,8.75,31.5,,4.44,,37,120,4.15,6.99,
2018,Derrius Guice,Louisiana State,RB,70.5,224,9.75,30.75,,4.49,15,31.5,,,,
2018,Kyle Hicks,Texas Christian,RB,69.63,204,9.5,32.5,,4.63,13,36.5,122,4.24,7.21,
2018,Nyheim Hines,North Carolina State,RB,68.38,198,8.88,30.75,,4.38,9,35.5,119,4.35,7.18,
2018,Gerald Holmes,Michigan State,RB,72.13,221,10.5,33.125,,4.66,15,34,126,4.42,7.09,
2018,Ty Isaac,Michigan,RB,74.13,227,10.13,32,,,,,,,,
2018,Justin Jackson,Northwestern,RB,71.63,199,9.25,30.63,,4.52,13,38.5,122,4.07,6.81,11.06
2018,DErnest Johnson,South Florida,RB,70.63,200,9.63,31,,4.84,18,29.5,115,4.38,7.32,
2018,Kerryon Johnson,Auburn,RB,71.5,213,9.75,32.5,,4.55,11,40,126,4.29,7.07,
2018,Ronald Jones,Southern California,RB,71,205,8.75,31.13,,4.65,,36.5,,,,
2018,John Kelly,Tennessee,RB,69.88,216,9.38,31.38,,4.67,15,35,120,4.51,7.13,
2018,Phillip Lindsay,Colorado,RB,67.25,184,8.63,30.875,,4.42,12,34.5,122,4.35,7.21,
2018,Robert Martin,Rutgers,RB,71.25,210,8.25,30.25,,4.63,17,31,112,4.61,7.11,
2018,Sony Michel,Georgia,RB,70.63,214,9.13,31.25,,4.54,22,,,4.21,,
2018,Ryan Nall,Oregon State,RB,74.13,232,10.5,31.5,,4.58,15,33,122,4.16,6.95,11.57
2018,Rashaad Penny,San Diego State,RB,71,220,9.25,31.25,,4.46,13,32.5,120,,,
2018,Kamryn Pettway,Auburn,RB,71.75,233,9.5,31.25,,4.74,22,33.5,116,,,
2018,Bo Scarbrough,Alabama,RB,73.38,228,10.5,33.5,,4.52,14,40,129,4.34,,
2018,Ito Smith,Southern Mississippi,RB,68.63,200,9.38,28.875,,4.48,20,35.5,117,4.6,7.31,
2018,Justin Stockton,Texas Tech,RB,68.88,201,9.13,30.75,,4.48,17,33.5,122,4.17,6.97,
2018,Terry Swanson,Toledo,RB,69.5,208,8.63,29.625,,4.54,22,30.5,118,4.63,7.25,
2018,Roc Thomas,Jacksonville State (AL),RB,70.13,198,9.25,31.63,,4.56,16,35.5,125,4.49,7.16,
2018,DeLance Turner,Alcorn State (MS),RB,71.25,216,9,30,,4.56,22,36,118,4.49,7.57,
2018,Akrum Wadley,Iowa,RB,69.88,194,8.25,29.5,,4.54,12,32,,4.43,,
2018,Mark Walton,Miami (FL),RB,69.63,202,9.25,30,,4.6,18,31.5,118,4.49,7.09,
2018,Chris Warren,Texas,RB,74,247,10,32,,4.69,25,33,121,4.18,6.98,12.03
2018,Ralph Webb,Vanderbilt,RB,69.25,202,9.25,30.25,,4.52,25,35,120,4.19,7.22,
2018,Jordan Wilkins,Mississippi,RB,72.63,216,9.38,30.13,,4.56,16,36,117,4.27,,
2018,Darrel Williams,Louisiana State,RB,71.63,225,9.38,31,,4.72,22,32,109,4.21,7.29,
2018,David Williams,Arkansas,RB,72.13,224,9.13,30,,4.53,19,29.5,112,4.56,7.64,
2018,Jeffrey Wilson,North Texas,RB,71.88,208,9.25,31.5,,4.6,15,34,108,4.33,7.29,
2018,Nick Wilson,Arizona,RB,69.63,199,9.75,29.875,,4.62,12,28.5,109,4.3,7.31,
2018,Shaun Wilson,Duke,RB,68.38,185,8.75,30.5,,4.49,15,36,117,4.19,6.99,
2017,Aaron Bailey,Northern Iowa,RB,72.25,233,9.38,32.5,,4.53,,33,117,4.39,6.94,
2017,Christopher Carson,Oklahoma State,RB,72.25,218,9.63,33.25,,4.58,23,37,130,4.32,7.62,
2017,Devin Church,Eastern Illinois,RB,67,198,8.63,30.625,,4.58,16,34,113,4.21,6.69,
2017,Corey Clement,Wisconsin,RB,70.25,220,9.75,30.5,,4.68,19,28.5,115,4.53,6.8,
2017,Tarik Cohen,North Carolina A&T,RB,66.38,179,10.13,29.75,,4.42,11,31.5,118,4.31,7.31,
2017,James Conner,Pittsburgh,RB,73.25,233,9.88,31.25,,4.65,20,29,113,4.44,7.23,
2017,Dalvin Cook,Florida State,RB,71.13,210,9.25,32.38,,4.49,22,30.5,116,4.53,7.27,
2017,Justin Davis,Southern California,RB,72.63,208,9.63,31,,,21,29,113,4.32,6.84,11.29
2017,Matt Dayes,North Carolina State,RB,68.63,205,10.5,30,12,4.69,18,28,109,4.55,7.35,
2017,Jela Duncan,Duke,RB,68.88,214,9.25,29.25,,,22,,,,,
2017,Brionte Dunn,Ohio State,RB,72,214,9.5,31.5,,4.52,21,37,124,4.3,6.8,
2017,Trey Edmunds,Maryland,RB,72.63,223,9.38,32.375,,4.51,,34.5,120,,7.34,
2017,Tarean Folston,Notre Dame,RB,69.25,214,9.5,30.375,,4.79,18,32.5,113,4.2,7.02,11.53
2017,D'Onta Foreman,Texas,RB,72.25,233,10.13,31.38,,4.49,18,32,118,4.28,7.3,
2017,Leonard Fournette,Louisiana State,RB,72.13,240,9.25,31.63,11,4.51,,28.5,,,,
2017,King Frazier,North Dakota State,RB,71,213,9,31,,4.7,20,31,110,4.37,7.22,
2017,Wayne Gallman,Clemson,RB,72.25,215,9.13,32.63,,4.6,21,29.5,120,4.28,7.17,11.92
2017,Derrick Green,Texas Christian,RB,70.25,220,9,31,,4.79,13,28.5,109,4.44,7.21,
2017,DeAngelo Henderson,Coastal Carolina (SC),RB,67.5,208,9.5,29,,4.48,20,34,120,4.61,7.35,
2017,Brian Hill,Wyoming,RB,72.63,219,8.88,31.38,,4.54,15,34,125,4.32,7.03,
2017,Elijah Hood,North Carolina,RB,71.75,232,9.38,30.38,,4.6,18,30.5,111,4.34,7.21,
2017,Kareem Hunt,Toledo,RB,70.5,216,9.63,31.38,,4.62,18,36.5,119,4.57,7.31,
2017,Jordan Johnson,Buffalo,RB,72.75,223,9,30.375,,4.68,17,34.5,119,4.63,7.53,
2017,Aaron Jones,Texas-El Paso,RB,69.13,208,9.5,32.5,,4.56,16,37.5,127,4.2,6.82,
2017,DeShawn Jones,Campbell,RB,71.25,203,9.38,32,,,15,,,,,
2017,Alvin Kamara,Tennessee,RB,69.75,214,9.25,32.75,24,4.56,15,39.5,131,4.56,7.19,11.78
2017,Jojo Kemp,Kentucky,RB,69.5,204,8.5,30,,4.7,21,35.5,119,4.57,7.57,
2017,T.J. Logan,North Carolina,RB,69.13,196,9,32,,4.37,17,33.5,121,4.43,6.7,12
2017,Marlon Mack,South Florida,RB,70.75,213,9,32,,4.5,15,35.5,125,4.22,,11.03
2017,ITavius Mathers,Middle Tennessee State,RB,70.88,203,9,31,,4.49,19,31,120,4.4,7.26,
2017,Devante Mays,Utah State,RB,70.38,230,8.63,31.75,,4.55,20,39.5,127,4.57,7.52,
2017,Christian McCaffrey,Stanford,RB,71.25,202,9,30,21,4.48,10,37.5,121,4.22,6.57,11.03
2017,Elijah McGuire,Louisiana-Lafayette,RB,69.75,214,9,31,,4.53,15,36,120,4.56,7.26,
2017,Jeremy McNichols,Boise State,RB,68.63,214,10,31.5,,4.49,,35.5,121,4.28,6.93,
